Time;ft01;ft02;ft03
01/01/2018;164.09;96.57;78.39
02/01/2018;181.73;112.69;84.92
03/01/2018;193.14;113.67;87.07
04/01/2018;184.68;118.08;90.39
05/01/2018;211.9;125.75;91.43
06/01/2018;209.13;107.61;93.4
07/01/2018;195.95;94.78;81.38
08/01/2018;163.04;100.78;83.85
09/01/2018;187.85;100.26;85.71
10/01/2018;172.01;100.85;85.65
11/01/2018;182.69;105.71;87.36
12/01/2018;181.79;105.35;84.55
13/01/2018;215.96;112.83;98.17
14/01/2018;195.89;104.61;88.41
15/01/2018;163.56;116.51;95.04
16/01/2018;223.71;112.32;91.58
17/01/2018;194.77;109.23;90.73
18/01/2018;206.89;114.5;92.84
19/01/2018;196.95;108.23;91.24
20/01/2018;206.16;104.68;93.54
21/01/2018;189.34;106.32;88.95
22/01/2018;184.38;121.32;94.01
23/01/2018;209.16;116.91;92.21
24/01/2018;184.08;115.61;92.09
25/01/2018;203.34;110.33;90.83
26/01/2018;201.89;84.97;86.99
27/01/2018;250.91;128.71;97.96
28/01/2018;196.76;114.35;91.52
29/01/2018;196.93;107.86;94.82
30/01/2018;193.94;105;95.03
31/01/2018;210.47;110.16;99.23
01/02/2018;213.96;109.26;97.7
02/02/2018;201.64;112.14;99.91
03/02/2018;238.81;115.48;110.35
04/02/2018;216.4;103.14;95.55
05/02/2018;172.58;107.38;96.99
06/02/2018;186.43;111.88;100.79
07/02/2018;212.97;132.98;98.52
08/02/2018;224.44;132.04;101.74
09/02/2018;244.37;150.98;105.39
10/02/2018;264.09;122.17;106.69
11/02/2018;207.47;96.63;91.72
12/02/2018;187.26;95.03;92.94
13/02/2018;183.75;99.39;95.17
14/02/2018;204.8;106.86;98.25
15/02/2018;207.96;111.66;99.64
16/02/2018;199.33;112.42;100.4
17/02/2018;273.51;119.96;109.74
18/02/2018;195.05;112.83;101.05
19/02/2018;152.79;90.05;81.46
20/02/2018;173.21;101.38;78.1
21/02/2018;230.42;115.27;102.04
22/02/2018;194.32;118.51;99.88
23/02/2018;209.52;119.6;104.14
24/02/2018;251.76;119.9;111.95
25/02/2018;239.32;116.6;104.58
26/02/2018;195.92;126.27;106.98
27/02/2018;89.53;36.82;36.11
28/02/2018;251.35;160.73;126.99
01/03/2018;256.33;138.41;108.98
02/03/2018;229.35;119.9;105.19
03/03/2018;267.25;124.24;113.59
04/03/2018;264.99;120.08;104.51
05/03/2018;170.31;126.12;106.38
06/03/2018;233.16;119.17;103.53
07/03/2018;223.23;115.3;101.87
08/03/2018;193.33;104.81;101.66
09/03/2018;229.43;143.1;100.2
10/03/2018;272.93;122.59;109.98
11/03/2018;219.39;121.71;103.8
12/03/2018;200.44;125.76;103.64
13/03/2018;218.07;114.65;97.04
14/03/2018;217.65;120.93;100.74
15/03/2018;190.02;131.27;102.06
16/03/2018;185.7;106.9;73.5
17/03/2018;289.99;122.41;110.39
18/03/2018;227.03;120.51;102.78
19/03/2018;184.19;124.41;103.97
20/03/2018;224.86;113.81;98.56
21/03/2018;197.65;109.41;96.77
22/03/2018;196.96;111.86;98.37
23/03/2018;214.83;130.4;103.02
24/03/2018;263.35;140.4;112.8
25/03/2018;260.18;124.83;100.02
26/03/2018;171.01;118.33;95.86
27/03/2018;180.19;108.12;93.69
28/03/2018;222.99;143.59;102.38
29/03/2018;221.74;130.14;102.8
30/03/2018;266.75;131.13;104.56
31/03/2018;208.92;121.67;105.31
01/04/2018;232.93;124.64;100.22
02/04/2018;217.17;134.62;104.12
03/04/2018;221.35;133.66;104.38
